chemin, paquet, paquet_LOC, paquet_CLOC, paquet_DC, WCP, paquet_BC
jfreechart\src\test\java\org\jfree\chart\axis,jfreechart.src.test.java.org.jfree.chart.axis,5087,1888,0.371142,198,0.001874
jfreechart\src\test\java\org\jfree\chart\plot,jfreechart.src.test.java.org.jfree.chart.plot,6376,1868,0.292974,250,0.001172
jfreechart\src\test\java\org\jfree\chart\plot\pie,jfreechart.src.test.java.org.jfree.chart.plot.pie,875,240,0.274286,35,0.007837
jfreechart\src\test\java\org\jfree\chart\plot\dial,jfreechart.src.test.java.org.jfree.chart.plot.dial,1739,733,0.421507,69,0.006109
jfreechart\src\test\java\org\jfree\chart\plot\flow,jfreechart.src.test.java.org.jfree.chart.plot.flow,242,62,0.256198,15,0.01708
jfreechart\src\test\java\org\jfree\chart\plot\compass,jfreechart.src.test.java.org.jfree.chart.plot.compass,885,518,0.585311,44,0.013303
jfreechart\src\test\java\org\jfree\chart\text\format,jfreechart.src.test.java.org.jfree.chart.text.format,347,152,0.43804,16,0.027378
jfreechart\src\test\java\org\jfree\chart\urls,jfreechart.src.test.java.org.jfree.chart.urls,785,371,0.472611,39,0.012118
jfreechart\src\test\java\org\jfree\chart\block,jfreechart.src.test.java.org.jfree.chart.block,2012,757,0.376243,66,0.005701
jfreechart\src\test\java\org\jfree\chart\swing,jfreechart.src.test.java.org.jfree.chart.swing,417,161,0.386091,24,0.016087
jfreechart\src\test\java\org\jfree\chart\title,jfreechart.src.test.java.org.jfree.chart.title,675,371,0.54963,34,0.016166
jfreechart\src\test\java\org\jfree\chart\entity,jfreechart.src.test.java.org.jfree.chart.entity,809,379,0.46848,32,0.01464
jfreechart\src\test\java\org\jfree\chart\labels,jfreechart.src.test.java.org.jfree.chart.labels,2503,1133,0.452657,122,0.00371
jfreechart\src\test\java\org\jfree\chart\legend,jfreechart.src.test.java.org.jfree.chart.legend,485,180,0.371134,16,0.023196
jfreechart\src\test\java\org\jfree\chart\imagemap,jfreechart.src.test.java.org.jfree.chart.imagemap,348,230,0.66092,14,0.047209
jfreechart\src\test\java\org\jfree\chart\internal,jfreechart.src.test.java.org.jfree.chart.internal,539,264,0.489796,27,0.018141
jfreechart\src\test\java\org\jfree\chart\renderer,jfreechart.src.test.java.org.jfree.chart.renderer,1656,573,0.346014,117,0.002957
jfreechart\src\test\java\org\jfree\chart\renderer\xy,jfreechart.src.test.java.org.jfree.chart.renderer.xy,4844,1836,0.379026,237,0.001599
jfreechart\src\test\java\org\jfree\chart\renderer\category,jfreechart.src.test.java.org.jfree.chart.renderer.category,3770,1431,0.379576,201,0.001888
jfreechart\src\test\java\org\jfree\chart\annotations,jfreechart.src.test.java.org.jfree.chart.annotations,2037,833,0.408935,94,0.00435
