chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
jfreechart\src\main\java\org\jfree\chart\text\format\HMSNumberFormat.java,HMSNumberFormat.java,105,74,0.704762,5,0.140952
jfreechart\src\main\java\org\jfree\chart\text\format\RelativeDateFormat.java,RelativeDateFormat.java,501,272,0.542914,47,0.011551
jfreechart\src\main\java\org\jfree\chart\text\TextBox.java,TextBox.java,378,174,0.460317,39,0.011803
jfreechart\src\main\java\org\jfree\chart\text\TextLine.java,TextLine.java,222,114,0.513514,20,0.025676
jfreechart\src\main\java\org\jfree\chart\text\TextBlock.java,TextBlock.java,272,135,0.496324,25,0.019853
jfreechart\src\main\java\org\jfree\chart\text\TextUtils.java,TextUtils.java,699,307,0.439199,72,0.0061
jfreechart\src\main\java\org\jfree\chart\text\TextAnchor.java,TextAnchor.java,145,94,0.648276,9,0.072031
jfreechart\src\main\java\org\jfree\chart\text\package-info.java,package-info.java,4,3,0.75,0,∞
jfreechart\src\main\java\org\jfree\chart\text\TextFragment.java,TextFragment.java,268,142,0.529851,27,0.019624
jfreechart\src\main\java\org\jfree\chart\text\TextMeasurer.java,TextMeasurer.java,44,40,0.909091,1,0.909091
jfreechart\src\main\java\org\jfree\chart\text\G2TextMeasurer.java,G2TextMeasurer.java,63,45,0.714286,3,0.238095
jfreechart\src\main\java\org\jfree\chart\text\TextBlockAnchor.java,TextBlockAnchor.java,55,43,0.781818,1,0.781818
jfreechart\src\main\java\org\jfree\chart\text\AttributedStringUtils.java,AttributedStringUtils.java,88,45,0.511364,9,0.056818
jfreechart\src\main\java\org\jfree\chart\urls\package-info.java,package-info.java,4,3,0.75,0,∞
jfreechart\src\main\java\org\jfree\chart\urls\XYURLGenerator.java,XYURLGenerator.java,66,61,0.924242,1,0.924242
jfreechart\src\main\java\org\jfree\chart\urls\PieURLGenerator.java,PieURLGenerator.java,64,59,0.921875,1,0.921875
jfreechart\src\main\java\org\jfree\chart\urls\XYZURLGenerator.java,XYZURLGenerator.java,61,56,0.918033,1,0.918033
jfreechart\src\main\java\org\jfree\chart\urls\CategoryURLGenerator.java,CategoryURLGenerator.java,73,67,0.917808,1,0.917808
jfreechart\src\main\java\org\jfree\chart\urls\CustomXYURLGenerator.java,CustomXYURLGenerator.java,193,104,0.53886,21,0.02566
jfreechart\src\main\java\org\jfree\chart\urls\CustomPieURLGenerator.java,CustomPieURLGenerator.java,204,109,0.534314,17,0.03143
