chemin, paquet, paquet_LOC, paquet_CLOC, paquet_DC, WCP, paquet_BC
jfreechart\src\test\java\org\jfree\chart\legend,legend,485,180,0.3711340206185567,16,0.023195876288659795
jfreechart\src\test\java\org\jfree\chart\plot,plot,10117,3421,0.33814371849362457,413,8.187499237133766E-4
jfreechart\src\test\java\org\jfree\chart\plot\compass,compass,885,518,0.5853107344632769,44,0.0133025166923472
jfreechart\src\test\java\org\jfree\chart\plot\dial,dial,1739,733,0.4215066129959747,69,0.006108791492695285
jfreechart\src\test\java\org\jfree\chart\plot\flow,flow,242,62,0.256198347107438,15,0.017079889807162532
jfreechart\src\test\java\org\jfree\chart\plot\pie,pie,875,240,0.2742857142857143,35,0.00783673469387755
jfreechart\src\test\java\org\jfree\chart\renderer,renderer,10270,3840,0.373904576436222,555,6.737019395247243E-4
jfreechart\src\test\java\org\jfree\chart\renderer\category,category,3770,1431,0.3795755968169761,201,0.0018884358050595827
jfreechart\src\test\java\org\jfree\chart\renderer\xy,xy,4844,1836,0.3790255986787779,237,0.0015992641294463202
jfreechart\src\test\java\org\jfree\chart\swing,swing,417,161,0.38609112709832133,24,0.016087130295763388
jfreechart\src\test\java\org\jfree\chart\text,text,347,152,0.43804034582132567,16,0.027377521613832854
jfreechart\src\test\java\org\jfree\chart\text\format,format,347,152,0.43804034582132567,16,0.027377521613832854
jfreechart\src\test\java\org\jfree\chart\title,title,675,371,0.5496296296296296,34,0.01616557734204793
jfreechart\src\test\java\org\jfree\chart\urls,urls,785,371,0.4726114649681529,39,0.0121182426914911
jfreechart\src\test\java\org\jfree\data,data,24362,8492,0.34857565060339873,1249,2.790837875127292E-4
jfreechart\src\test\java\org\jfree\data\category,category,1189,349,0.29352396972245587,53,0.005538188107970865
jfreechart\src\test\java\org\jfree\data\flow,flow,282,155,0.549645390070922,15,0.03664302600472813
jfreechart\src\test\java\org\jfree\data\function,function,388,212,0.5463917525773195,23,0.023756163155535633
jfreechart\src\test\java\org\jfree\data\gantt,gantt,1073,348,0.32432432432432434,46,0.007050528789659225
jfreechart\src\test\java\org\jfree\data\general,general,2535,887,0.34990138067061144,157,0.002228671214462493
jfreechart\src\test\java\org\jfree\data\statistics,statistics,2310,834,0.36103896103896105,101,0.003574643178603575
jfreechart\src\test\java\org\jfree\data\time,time,7794,2449,0.3142160636386964,422,7.445878285277166E-4
jfreechart\src\test\java\org\jfree\data\time\ohlc,ohlc,665,267,0.40150375939849625,34,0.011808934099955773
jfreechart\src\test\java\org\jfree\data\xy,xy,5944,2270,0.38189771197846567,290,0.0013168886619947093
jfreechart,jfreechart,256412,124416,0.4852191005101165,20680,2.3463206020798673E-5
